172       1100  -0.785398      -1470 
173       1100  -0.261799      -1470 
174       1650          0      -1470 
175       1650   0.349066      -1470 
176       1650   0.698132      -1470 
177       1650     1.0472      -1470 
178       1650    1.39626      -1470 
179       1650    1.74533      -1470 
180       1650     2.0944      -1470 
181       1650    2.44346      -1470 
182       1650    2.79253      -1470 
183       1650    3.14159      -1470 
184       1650   -2.79253      -1470 
185       1650   -2.44346      -1470 
186       1650    -2.0944      -1470 
187       1650   -1.74533      -1470 
188       1650   -1.39626      -1470 
189       1650    -1.0472      -1470 
190       1650  -0.698132      -1470 
191       1650  -0.349066      -1470 
